Elem,Thickness (mm),SCF,curve_type
7108,25,1,DNV-CD
7109,20,1,DNV-CD
7110,25,1,DNV-CD
7111,20,1,DNV-CD
7120,25,1,DNV-CD
7121,25,1,DNV-CD
7122,25,1,DNV-CD
7123,25,1,DNV-CD
7124,25,1,DNV-CD
7125,20,1,DNV-CD
7126,25,1,DNV-CD
7127,20,1,DNV-CD
7136,25,1,DNV-CD
7137,25,1,DNV-CD
7138,25,1,DNV-CD
7139,25,1,DNV-CD
7140,25,1,DNV-CD
7141,20,1,DNV-CD
7142,25,1,DNV-CD
7143,20,1,DNV-CD
7152,25,1,DNV-CD
7153,25,1,DNV-CD
7154,25,1,DNV-CD
7155,25,1,DNV-CD
7156,25,1,DNV-CD
7157,20,1,DNV-CD
7158,25,1,DNV-CD
7159,20,1,DNV-CD
7168,25,1,DNV-CD
7169,25,1,DNV-CD
7170,25,1,DNV-CD
7171,25,1,DNV-CD
7172,25,1,DNV-CD
7173,20,1,DNV-CD
7174,25,1,DNV-CD
7175,20,1,DNV-CD
7184,25,1,DNV-CD
7185,25,1,DNV-CD
7186,25,1,DNV-CD
7187,25,1,DNV-CD
7188,25,1,DNV-CD
7189,20,1,DNV-CD
7190,25,1,DNV-CD
7191,20,1,DNV-CD
7200,25,1,DNV-CD
7201,25,1,DNV-CD
7202,25,1,DNV-CD
7203,25,1,DNV-CD
7204,25,1,DNV-CD
7205,20,1,DNV-CD
7206,25,1,DNV-CD
7207,20,1,DNV-CD
7216,25,1,DNV-CD
7217,25,1,DNV-CD
7218,25,1,DNV-CD
7219,25,1,DNV-CD
7220,25,1,DNV-CD
7221,20,1,DNV-CD
7222,25,1,DNV-CD
7223,20,1,DNV-CD
7232,25,1,DNV-CD
7233,25,1,DNV-CD
7234,25,1,DNV-CD
7235,25,1,DNV-CD
7236,25,1,DNV-CD
7237,20,1,DNV-CD
7238,25,1,DNV-CD
7239,20,1,DNV-CD
7248,25,1,DNV-CD
7249,25,1,DNV-CD
7250,25,1,DNV-CD
7251,25,1,DNV-CD
7252,25,1,DNV-CD
7253,20,1,DNV-CD
7254,25,1,DNV-CD
7255,20,1,DNV-CD
7264,25,1,DNV-CD
7265,25,1,DNV-CD
7266,25,1,DNV-CD
7267,25,1,DNV-CD
7268,25,1,DNV-CD
